"Team" "W" "L" "PTS" "PTS.G" "oppPTS" "oppPTS.G" "ptsDIFF" "ptsDIFF.G" "Playoffs" "Year" "G" "MP" "FG" "FGA" "FG_P" "x3P" "x3PA" "x3P_P" "x2P" "x2PA" "x2P_P" "FT" "FTA" "FT_P" "ORB" "DRB" "TRB" "AST" "STL" "BLK" "TOV"
"1" "Atlanta Hawks" 28 54 7735 94.3 8176 99.7 -441 -5.40000000000001 0 2000 82 19830 3000 6807 0.441 258 814 0.317 2742 5993 0.458 1477 1987 0.743 1146 2570 3716 1548 500 461 1266
"2" "Boston Celtics" 35 47 8146 99.3 8208 100.1 -62 -0.799999999999997 0 2000 82 19730 3054 6880 0.444 417 1260 0.331 2637 5620 0.469 1621 2175 0.745 1108 2420 3528 1741 795 286 1259
"3" "Charlotte Hornets" 49 33 8072 98.4 7853 95.8 219 2.60000000000001 1 2000 82 19780 2935 6533 0.449 339 1001 0.339 2596 5532 0.469 1863 2458 0.758 884 2635 3519 2023 732 480 1206
"4" "Chicago Bulls" 17 65 6952 84.8 7723 94.2 -771 -9.40000000000001 0 2000 82 19805 2565 6180 0.415 340 1032 0.329 2225 5148 0.432 1482 2089 0.709 1032 2323 3355 1645 646 383 1557
"5" "Cleveland Cavaliers" 32 50 7950 97 8237 100.5 -287 -3.5 0 2000 82 19855 2977 6734 0.442 343 919 0.373 2634 5815 0.453 1653 2205 0.75 1010 2499 3509 1941 715 363 1427
"6" "Dallas Mavericks" 40 42 8316 101.4 8363 102 -47 -0.599999999999994 0 2000 82 19730 3195 7047 0.453 519 1326 0.391 2676 5721 0.468 1407 1751 0.804 931 2444 3375 1810 592 416 1124
"7" "Denver Nuggets" 35 47 8115 99 8289 101.1 -174 -2.09999999999999 0 2000 82 19855 3057 6911 0.442 470 1397 0.336 2587 5514 0.469 1531 2116 0.724 1073 2590 3663 1911 554 618 1281
"8" "Detroit Pistons" 42 40 8483 103.5 8365 102 118 1.5 1 2000 82 19830 3044 6635 0.459 439 1223 0.359 2605 5412 0.481 1956 2506 0.781 917 2458 3375 1707 665 273 1288
"9" "Golden State Warriors" 19 63 7834 95.5 8512 103.8 -678 -8.3 0 2000 82 19755 2996 7140 0.42 345 1069 0.323 2651 6071 0.437 1497 2147 0.697 1300 2438 3738 1851 731 356 1302
"10" "Houston Rockets" 34 48 8156 99.5 8227 100.3 -71 -0.799999999999997 0 2000 82 19830 3001 6664 0.45 581 1625 0.358 2420 5039 0.48 1573 2145 0.733 1008 2586 3594 1774 613 438 1425
"11" "Indiana Pacers" 56 26 8306 101.3 7929 96.7 377 4.59999999999999 1 2000 82 19730 3047 6640 0.459 583 1487 0.392 2464 5153 0.478 1629 2008 0.811 842 2612 3454 1857 559 422 1159
"12" "Los Angeles Clippers" 15 67 7546 92 8491 103.5 -945 -11.5 0 2000 82 19705 2877 6757 0.426 429 1267 0.339 2448 5490 0.446 1363 1826 0.746 955 2377 3332 1479 578 494 1325
"13" "Los Angeles Lakers" 67 15 8267 100.8 7566 92.3 701 8.5 1 2000 82 19805 3137 6836 0.459 344 1047 0.329 2793 5789 0.482 1649 2368 0.696 1117 2738 3855 1921 613 534 1143
"14" "Miami Heat" 52 30 7739 94.4 7484 91.3 255 3.10000000000001 1 2000 82 19830 2974 6462 0.46 446 1202 0.371 2528 5260 0.481 1345 1827 0.736 921 2619 3540 1931 582 524 1231
"15" "Milwaukee Bucks" 42 40 8300 101.2 8282 101 18 0.200000000000003 1 2000 82 19855 3174 6827 0.465 394 1069 0.369 2780 5758 0.483 1558 1982 0.786 1016 2373 3389 1852 671 381 1230
"16" "Minnesota Timberwolves" 50 32 8079 98.5 7872 96 207 2.5 1 2000 82 19905 3226 6910 0.467 248 716 0.346 2978 6194 0.481 1379 1769 0.78 1016 2471 3487 2205 622 444 1139
"17" "New Jersey Nets" 31 51 8036 98 8121 99 -85 -1 0 2000 82 19830 2979 6881 0.433 477 1374 0.347 2502 5507 0.454 1601 2041 0.784 1040 2315 3355 1688 720 393 1119
"18" "New York Knicks" 50 32 7555 92.1 7435 90.7 120 1.39999999999999 1 2000 82 19830 2897 6374 0.455 351 937 0.375 2546 5437 0.468 1410 1805 0.781 802 2521 3323 1588 515 349 1201
"19" "Orlando Magic" 41 41 8206 100.1 8150 99.4 56 0.699999999999989 0 2000 82 19755 3169 7014 0.452 294 870 0.338 2875 6144 0.468 1574 2142 0.735 1145 2540 3685 1709 743 467 1443
"20" "Philadelphia 76ers" 49 33 7771 94.8 7661 93.4 110 1.39999999999999 1 2000 82 19830 2993 6776 0.442 208 643 0.323 2785 6133 0.454 1577 2226 0.708 1147 2468 3615 1817 791 386 1284
"21" "Phoenix Suns" 53 29 8111 98.9 7683 93.7 428 5.2 1 2000 82 19805 3093 6771 0.457 458 1246 0.368 2635 5525 0.477 1467 1934 0.759 1022 2558 3580 2098 744 433 1368
"22" "Portland Trail Blazers" 59 23 7991 97.5 7466 91 525 6.5 1 2000 82 19780 3021 6430 0.47 407 1128 0.361 2614 5302 0.493 1542 2029 0.76 966 2560 3526 1925 633 396 1243
"23" "Sacramento Kings" 44 38 8607 105 8368 102 239 3 1 2000 82 19805 3276 7288 0.45 534 1656 0.322 2742 5632 0.487 1521 2016 0.754 1056 2635 3691 1953 787 381 1325
"24" "San Antonio Spurs" 53 29 7886 96.2 7399 90.2 487 6 1 2000 82 19855 2952 6393 0.462 330 882 0.374 2622 5511 0.476 1652 2214 0.746 927 2666 3593 1819 614 551 1233
"25" "Seattle SuperSonics" 45 37 8125 99.1 8047 98.1 78 1 1 2000 82 19780 3108 6946 0.447 546 1611 0.339 2562 5335 0.48 1363 1960 0.695 1042 2483 3525 1878 657 345 1152
"26" "Toronto Raptors" 45 37 7968 97.2 7981 97.3 -13 -0.0999999999999943 1 2000 82 19755 2980 6882 0.433 425 1171 0.363 2555 5711 0.447 1583 2068 0.765 1098 2449 3547 1947 666 544 1137
"27" "Utah Jazz" 55 27 7914 96.5 7548 92 366 4.5 1 2000 82 19755 2962 6380 0.464 329 854 0.385 2633 5526 0.476 1661 2150 0.773 936 2426 3362 2041 629 446 1220
"28" "Vancouver Grizzlies" 22 60 7702 93.9 8163 99.5 -461 -5.59999999999999 0 2000 82 19855 2892 6441 0.449 324 898 0.361 2568 5543 0.463 1594 2060 0.774 1005 2324 3329 1700 608 346 1381
"29" "Washington Wizards" 29 53 7921 96.6 8190 99.9 -269 -3.30000000000001 0 2000 82 19805 3010 6681 0.451 335 890 0.376 2675 5791 0.462 1566 2107 0.743 1064 2438 3502 1771 593 383 1320
"30" "Atlanta Hawks" 25 57 7459 91 7886 96.2 -427 -5.2 0 2001 82 19730 2876 6668 0.431 333 933 0.357 2543 5735 0.443 1374 1811 0.759 1028 2490 3518 1559 634 387 1368
"31" "Boston Celtics" 36 46 7759 94.6 7934 96.8 -175 -2.2 0 2001 82 19830 2773 6485 0.428 592 1633 0.363 2181 4852 0.45 1621 2190 0.74 897 2367 3264 1708 769 336 1285
"32" "Charlotte Hornets" 46 36 7539 91.9 7367 89.8 172 2.10000000000001 1 2001 82 19880 2800 6501 0.431 340 984 0.346 2460 5517 0.446 1599 2146 0.745 1033 2608 3641 1900 665 455 1183
"33" "Chicago Bulls" 15 67 7181 87.6 7927 96.7 -746 -9.10000000000001 0 2001 82 19855 2721 6411 0.424 329 950 0.346 2392 5461 0.438 1410 1909 0.739 926 2260 3186 1810 675 379 1292
"34" "Cleveland Cavaliers" 30 52 7561 92.2 7909 96.5 -348 -4.3 0 2001 82 19830 2890 6532 0.442 220 659 0.334 2670 5873 0.455 1561 2040 0.765 1015 2440 3455 1708 642 436 1350
"35" "Dallas Mavericks" 53 29 8239 100.5 7888 96.2 351 4.3 1 2001 82 19805 3085 6716 0.459 517 1357 0.381 2568 5359 0.479 1552 1954 0.794 831 2571 3402 1740 618 492 1141
"36" "Denver Nuggets" 40 42 7918 96.6 8120 99 -202 -2.40000000000001 0 2001 82 19780 2979 6877 0.433 512 1444 0.355 2467 5433 0.454 1448 1964 0.737 1044 2583 3627 1970 552 538 1136
"37" "Detroit Pistons" 32 50 7837 95.6 7976 97.3 -139 -1.7 0 2001 82 19855 2919 6880 0.424 389 1112 0.35 2530 5768 0.439 1610 2233 0.721 1108 2626 3734 1629 613 447 1304
"38" "Golden State Warriors" 17 65 7584 92.5 8326 101.5 -742 -9 0 2001 82 19780 2937 7175 0.409 282 964 0.293 2655 6211 0.427 1428 2024 0.706 1345 2385 3730 1788 742 410 1301
"39" "Houston Rockets" 45 37 7972 97.2 7784 94.9 188 2.3 0 2001 82 19830 2943 6494 0.453 504 1412 0.357 2439 5082 0.48 1582 2086 0.758 919 2524 3443 1613 587 358 1204
"40" "Indiana Pacers" 41 41 7591 92.6 7607 92.8 -16 -0.200000000000003 1 2001 82 19980 2828 6431 0.44 396 1159 0.342 2432 5272 0.461 1539 2009 0.766 921 2595 3516 1763 563 487 1244
"41" "Los Angeles Clippers" 31 51 7581 92.5 7818 95.3 -237 -2.8 0 2001 82 20030 2896 6467 0.448 360 1063 0.339 2536 5404 0.469 1429 2061 0.693 962 2559 3521 1585 490 513 1293
"42" "Los Angeles Lakers" 56 26 8251 100.6 7974 97.2 277 3.39999999999999 1 2001 82 19905 3109 6685 0.465 439 1275 0.344 2670 5410 0.494 1594 2333 0.683 1085 2583 3668 1888 564 490 1184
"43" "Miami Heat" 50 32 7289 88.9 7101 86.6 188 2.30000000000001 1 2001 82 19880 2694 6258 0.43 478 1384 0.345 2216 4874 0.455 1423 1874 0.759 813 2435 3248 1630 633 304 1122
"44" "Milwaukee Bucks" 52 30 8260 100.7 7942 96.9 318 3.8 1 2001 82 19780 3112 6798 0.458 562 1481 0.379 2550 5317 0.48 1474 1874 0.787 975 2500 3475 1844 672 386 1123
"45" "Minnesota Timberwolves" 47 35 7982 97.3 7871 96 111 1.3 1 2001 82 19830 3148 6871 0.458 322 901 0.357 2826 5970 0.473 1364 1737 0.785 1002 2470 3472 2083 682 456 1136
"46" "New Jersey Nets" 26 56 7552 92.1 7966 97.1 -414 -5 0 2001 82 19730 2781 6550 0.425 361 1084 0.333 2420 5466 0.443 1629 2146 0.759 909 2337 3246 1603 649 407 1208
"47" "New York Knicks" 48 34 7275 88.7 7059 86.1 216 2.60000000000001 1 2001 82 19905 2755 6198 0.444 391 1115 0.351 2364 5083 0.465 1374 1727 0.796 773 2524 3297 1520 545 346 1189
"48" "Orlando Magic" 43 39 7992 97.5 7911 96.5 81 1 1 2001 82 19955 3013 6873 0.438 490 1346 0.364 2523 5527 0.456 1476 2068 0.714 1069 2450 3519 1803 674 481 1245
"49" "Philadelphia 76ers" 56 26 7763 94.7 7412 90.4 351 4.3 1 2001 82 19855 2902 6487 0.447 262 803 0.326 2640 5684 0.464 1697 2277 0.745 1075 2600 3675 1692 690 408 1292
"50" "Phoenix Suns" 51 31 7710 94 7529 91.8 181 2.2 1 2001 82 19805 2944 6757 0.436 332 1054 0.315 2612 5703 0.458 1490 1973 0.755 970 2529 3499 1905 775 429 1250
"51" "Portland Trail Blazers" 50 32 7824 95.4 7480 91.2 344 4.2 1 2001 82 19780 3004 6417 0.468 369 1057 0.349 2635 5360 0.492 1447 1899 0.762 960 2481 3441 1963 672 419 1257
"52" "Sacramento Kings" 55 27 8343 101.7 7866 95.9 477 5.8 1 2001 82 20080 3132 6969 0.449 479 1353 0.354 2653 5616 0.472 1600 2075 0.771 987 2705 3692 1852 793 432 1221
"53" "San Antonio Spurs" 58 24 7886 96.2 7250 88.4 636 7.8 1 2001 82 19830 2884 6262 0.461 445 1094 0.407 2439 5168 0.472 1673 2340 0.715 902 2712 3614 1778 568 576 1145
"54" "Seattle SuperSonics" 44 38 7978 97.3 7976 97.3 2 0 0 2001 82 19805 3029 6649 0.456 466 1169 0.399 2563 5480 0.468 1454 1986 0.732 999 2422 3421 1792 657 409 1252
"55" "Toronto Raptors" 47 35 8007 97.6 7822 95.4 185 2.19999999999999 1 2001 82 19955 3048 6972 0.437 429 1164 0.369 2619 5808 0.451 1482 1984 0.747 1118 2529 3647 2004 599 519 1080
"56" "Utah Jazz" 53 29 7959 97.1 7574 92.4 385 4.69999999999999 1 2001 82 19780 2960 6289 0.471 325 852 0.381 2635 5437 0.485 1714 2280 0.752 943 2383 3326 2110 661 463 1296
"57" "Vancouver Grizzlies" 23 59 7522 91.7 7992 97.5 -470 -5.8 0 2001 82 19780 2870 6539 0.439 325 947 0.343 2545 5592 0.455 1457 1892 0.77 894 2431 3325 1899 586 359 1291
"58" "Washington Wizards" 19 63 7645 93.2 8192 99.9 -547 -6.7 0 2001 82 19680 2833 6453 0.439 275 848 0.324 2558 5605 0.456 1704 2245 0.759 1016 2370 3386 1647 630 383 1391
"59" "Atlanta Hawks" 33 49 7711 94 8058 98.3 -347 -4.3 0 2002 82 19780 2901 6610 0.439 423 1194 0.354 2478 5416 0.458 1486 1942 0.765 955 2445 3400 1656 667 350 1275
"60" "Boston Celtics" 49 33 7901 96.4 7720 94.1 181 2.30000000000001 1 2002 82 19830 2852 6731 0.424 699 1946 0.359 2153 4785 0.45 1498 1960 0.764 891 2570 3461 1722 793 292 1114
"61" "Charlotte Hornets" 44 38 7700 93.9 7621 92.9 79 1 1 2002 82 19755 2893 6580 0.44 346 994 0.348 2547 5586 0.456 1568 2105 0.745 1059 2505 3564 1759 653 456 1150
"62" "Chicago Bulls" 21 61 7335 89.5 8035 98 -700 -8.5 0 2002 82 19805 2811 6491 0.433 300 868 0.346 2511 5623 0.447 1413 1958 0.722 924 2359 3283 1817 633 361 1252
"63" "Cleveland Cavaliers" 29 53 7812 95.3 8085 98.6 -273 -3.3 0 2002 82 19855 2948 6582 0.448 387 1026 0.377 2561 5556 0.461 1529 1980 0.772 968 2483 3451 1891 572 470 1196
"64" "Dallas Mavericks" 57 25 8629 105.2 8280 101 349 4.2 1 2002 82 19880 3200 6930 0.462 621 1645 0.378 2579 5285 0.488 1608 1994 0.806 918 2568 3486 1811 581 392 992
"65" "Denver Nuggets" 27 55 7559 92.2 8036 98 -477 -5.8 0 2002 82 19805 2915 6870 0.424 423 1285 0.329 2492 5585 0.446 1306 1756 0.744 1117 2310 3427 1817 613 462 1205
"66" "Detroit Pistons" 50 32 7735 94.3 7560 92.2 175 2.09999999999999 1 2002 82 19680 2845 6300 0.452 567 1509 0.376 2278 4791 0.475 1478 1954 0.756 810 2366 3176 1765 648 565 1193
"67" "Golden State Warriors" 21 61 8009 97.7 8452 103.1 -443 -5.39999999999999 0 2002 82 19780 2998 6989 0.429 320 994 0.322 2678 5995 0.447 1693 2344 0.722 1334 2493 3827 1706 650 523 1378
"68" "Houston Rockets" 28 54 7572 92.3 7973 97.2 -401 -4.90000000000001 0 2002 82 19980 2837 6629 0.428 496 1480 0.335 2341 5149 0.455 1402 1893 0.741 1025 2411 3436 1482 537 445 1156
"69" "Indiana Pacers" 42 40 7938 96.8 7916 96.5 22 0.299999999999997 1 2002 82 19905 2935 6580 0.446 405 1195 0.339 2530 5385 0.47 1663 2155 0.772 930 2568 3498 1884 658 436 1249
"70" "Los Angeles Clippers" 39 43 7846 95.7 7884 96.1 -38 -0.399999999999991 0 2002 82 19805 2970 6668 0.445 408 1147 0.356 2562 5521 0.464 1498 2026 0.739 1083 2474 3557 1714 510 540 1214
"71" "Los Angeles Lakers" 58 24 8304 101.3 7720 94.1 584 7.2 1 2002 82 19780 3150 6840 0.461 510 1439 0.354 2640 5401 0.489 1494 2138 0.699 1022 2607 3629 1882 625 478 1040
"72" "Memphis Grizzlies" 23 59 7372 89.9 7982 97.3 -610 -7.39999999999999 0 2002 82 19780 2851 6535 0.436 336 1096 0.307 2515 5439 0.462 1334 1883 0.708 984 2413 3397 1785 646 488 1344
"73" "Miami Heat" 36 46 7150 87.2 7276 88.7 -126 -1.5 0 2002 82 19930 2801 6382 0.439 312 899 0.347 2489 5483 0.454 1236 1708 0.724 902 2544 3446 1664 547 448 1217
"74" "Milwaukee Bucks" 41 41 7996 97.5 8014 97.7 -18 -0.200000000000003 0 2002 82 19905 3041 6577 0.462 593 1583 0.375 2448 4994 0.49 1321 1767 0.748 841 2557 3398 1847 596 388 1157
"75" "Minnesota Timberwolves" 50 32 8145 99.3 7868 96 277 3.3 1 2002 82 19805 3175 6887 0.461 396 1047 0.378 2779 5840 0.476 1399 1754 0.798 1059 2562 3621 1993 524 427 1097
"76" "New Jersey Nets" 52 30 7889 96.2 7548 92 341 4.2 1 2002 82 19830 3042 6816 0.446 403 1194 0.338 2639 5622 0.469 1402 1907 0.735 1039 2515 3554 1990 716 490 1189
